STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
239,"C/ INDÚSTRIA, 329",41.4172922,2.1844769,35,3,30,0.0857,35,0.0857
240,"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,27,6,19,0.2222,27,0.2222
241,"C/ TEODOR LLORENTE, 1",41.4191780,2.1801800,33,0,33,0.0000,33,0.0000
242,"C/ RAMON ALBÓ, 1",41.4244527,2.1773157,27,3,24,0.1111,27,0.1111
243,"C/ ALEXANDRE GALÍ, 1-5",41.4239719,2.1812399,27,4,22,0.1481,27,0.1481
244,"C/ FELIP II, 214",41.4269250,2.1786224,27,5,20,0.1852,27,0.1852
245,"LA RAMBLA, 101",41.3826647,2.1717083,26,22,3,0.8462,26,0.8462
246,"Westfield La Maquinista - C/ GARCILASO, 77",41.4228449,2.1866363,18,4,12,0.2222,18,0.2222
247,"C/ FELIPE II, 112",41.4219291,2.1849107,32,1,31,0.0313,32,0.0313
248,"C/ PALÈNCIA, 31",41.4182129,2.1904005,26,13,12,0.5000,26,0.5000
249,"C/ ANTILLES, 8",41.4250835,2.1872818,27,6,19,0.2222,27,0.2222
250,"C/ PORTUGAL, 3",41.4258248,2.1912060,27,6,19,0.2222,27,0.2222
251,"C/ CARDENAL TEDESCHINI, 13",41.4253643,2.1852073,33,1,31,0.0303,33,0.0303
252,"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,33,24,9,0.7273,33,0.7273
253,"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,27,16,11,0.5926,27,0.5926
254,"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.1902460,26,13,12,0.5000,26,0.5000
255,"C/ IRLANDA, 34",41.4315000,2.1857900,15,11,3,0.7333,15,0.7333
256,"C/ MALATS, 28-30",41.4361251,2.1894423,31,25,7,0.8065,31,0.8065
257,"C/ SANT ADRIÀ, 2-8",41.4339340,2.1896502,24,16,7,0.6667,24,0.6667
258,"C/ FERNANDO PESSOA, 45",41.4425034,2.1929677,26,14,13,0.5385,26,0.5385
259,"C/ DE BARTRINA, 14",41.4391174,2.1858025,24,6,17,0.2500,24,0.2500
260,"CARRER DEL CINCA, 7",41.4356895,2.1920873,27,7,17,0.2593,27,0.2593
